scraped_at,spieltag,player,match_index,home,away,group,result,pick,points
2026-06-14T16:20:10+00:00,1,p07,7,Australia,Türkiye,Group D,2-0,0-3,0
2026-06-14T16:20:10+00:00,1,p02,7,Australia,Türkiye,Group D,2-0,1-2,0
2026-06-14T16:20:10+00:00,1,p08,7,Australia,Türkiye,Group D,2-0,1-2,0
2026-06-14T16:20:10+00:00,1,p05,7,Australia,Türkiye,Group D,2-0,1-2,0
2026-06-14T16:20:10+00:00,1,p01,7,Australia,Türkiye,Group D,2-0,1-0,2
2026-06-14T16:20:10+00:00,1,p03,7,Australia,Türkiye,Group D,2-0,1-2,0
2026-06-14T16:20:10+00:00,1,p11,7,Australia,Türkiye,Group D,2-0,1-2,0
2026-06-14T16:20:10+00:00,1,self,7,Australia,Türkiye,Group D,2-0,0-1,0
2026-06-14T16:20:10+00:00,1,p10,7,Australia,Türkiye,Group D,2-0,2-1,2
2026-06-14T16:20:10+00:00,1,p09,7,Australia,Türkiye,Group D,2-0,1-2,0
2026-06-14T16:20:10+00:00,1,p06,7,Australia,Türkiye,Group D,2-0,2-3,0
2026-06-16T10:38:07+00:00,2,p07,0,Germany,Curaçao,Group E,7-1,3-0,2
2026-06-16T10:38:07+00:00,2,p02,0,Germany,Curaçao,Group E,7-1,3-0,2
2026-06-16T10:38:07+00:00,2,p08,0,Germany,Curaçao,Group E,7-1,5-0,2
2026-06-16T10:38:07+00:00,2,p05,0,Germany,Curaçao,Group E,7-1,4-0,2
2026-06-16T10:38:07+00:00,2,p01,0,Germany,Curaçao,Group E,7-1,2-0,2
2026-06-16T10:38:07+00:00,2,p03,0,Germany,Curaçao,Group E,7-1,2-0,2
2026-06-16T10:38:07+00:00,2,p11,0,Germany,Curaçao,Group E,7-1,3-0,2
2026-06-16T10:38:07+00:00,2,self,0,Germany,Curaçao,Group E,7-1,3-0,2
2026-06-16T10:38:07+00:00,2,p10,0,Germany,Curaçao,Group E,7-1,2-0,2
2026-06-16T10:38:07+00:00,2,p06,0,Germany,Curaçao,Group E,7-1,3-0,2
